year,subdivision,million_60kgs_bag,nonbear_mill_trees,bear_mill_trees,avg_unemp_perc,temperature,relative humidity,precipitation,surface pressure
2022,Minas Gerais,24.5,1500.0,6010.0,7.15,18.6,78.0,0.0,911.4
2023,Minas Gerais,28.5,1510.0,6100.0,,20.7,78.0,0.0,913.4
